,job_id,job_title,company,descriptions,location,category,subcategory,type,salary
0,72907939,IT Engineer (Infrastructure & Operations),Mewah Group,"To perform administration operations on Server infrastructure, Business Application, and Cloud Application Services.
To assist the implementation and enhancement of IT Infrastructure and Operations projects.
Prepare and review systems performance and availability, monitoring key process indicators such as uptime, event triggers.
Provide user support, problem troubleshooting and perform change request.
Microsoft Platform Tools (Microsoft 365, OneDrive, Teams etc)
Applications: Microsoft SharePoint, Microsoft Dynamics Navision 4.02, Microsoft Dynamics NAV 2018
Business Intelligence Tools: Microsoft Power BI
Windows Mobile Application Development
Others: Microsoft SQL Services, Microsoft Power Automate, Microsoft Power Query, Role Tailored Client (RTC) development experience (including page and report development in Visual Studio)
Knowledge on windows server, Linux, storage, business application, cloud services, server virtualization, backup, business continuity, etc
External and internal training and seminar – to gain more knowledge to develop your technical expertise and soft skills
Buddy assigned from your first day of work to guide and help you to adapt well in our organisation and culture
Opportunity to develop your goals aligned with the company’s goals through our Key Performance Planning system
Opportunity to have direct communication with Management team
Ability to manage your own time as we encourage work life balance through 5 days flexible working hour
Recognition and reward for your performance
Great self-development opportunity not limited to career but also personal development through the training provided
How much notice are you required to give your current employer?
What's your expected monthly basic salary?
How many years' experience do you have as an Infrastructure Administrator?",Shah Alam/Subang,Information & Communication Technology,Database Development & Administration,Full time,
1,72932881,IT Executive,AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD,"IT Infrastructure and Hardware Management
Oversee the setup, maintenance, and troubleshooting of office PCs, laptops, and other hardware devices.
Manage the procurement process for new IT equipment.
Organize and maintain the server room infrastructure for optimal performance.
Resolve hardware-related issues promptly to minimize downtime.
Software and Application Management
Administer Office 365 accounts, licenses, and user support.
Ensure software applications are updated and properly licensed.
Provide technical support for office productivity tools and software.
Network and Connectivity
Monitor and troubleshoot internet connectivity issues.
Maintain and manage network devices such as routers, switches, and Wi-Fi access points.
Implement and update network security measures to protect data and infrastructure.
Print and Scan Management
Set up, configure, and maintain printers and scanners for organizational use.
Address and resolve any printing or scanning issues efficiently.
User Support and Training
Establish and enforce IT policies, procedures, and technical guidelines.
Offer technical assistance to staff for IT-related queries and challenges.
Conduct training sessions for new employees on IT systems and protocols.
Develop and update comprehensive IT documentation and user guides.
Vendor and Stakeholder Management
Collaborate with external vendors for IT equipment procurement and services.
Coordinate with internet service providers and other technology partners to ensure seamless operations.
IT Strategy and Planning
Evaluate the organization's IT infrastructure and recommend enhancements.
Lead and execute IT-related projects, ensuring timely completion and adherence to budgets.
Manage hardware and software inventory, including IT supplies and resources.
Oversee the setup, maintenance, and troubleshooting of office PCs, laptops, and other hardware devices.
Manage the procurement process for new IT equipment.
Organize and maintain the server room infrastructure for optimal performance.
Resolve hardware-related issues promptly to minimize downtime.
Administer Office 365 accounts, licenses, and user support.
Ensure software applications are updated and properly licensed.
Provide technical support for office productivity tools and software.
Monitor and troubleshoot internet connectivity issues.
Maintain and manage network devices such as routers, switches, and Wi-Fi access points.
Implement and update network security measures to protect data and infrastructure.
Set up, configure, and maintain printers and scanners for organizational use.
Address and resolve any printing or scanning issues efficiently.
Establish and enforce IT policies, procedures, and technical guidelines.
Offer technical assistance to staff for IT-related queries and challenges.
Conduct training sessions for new employees on IT systems and protocols.
Develop and update comprehensive IT documentation and user guides.
Collaborate with external vendors for IT equipment procurement and services.
Coordinate with internet service providers and other technology partners to ensure seamless operations.
Evaluate the organization's IT infrastructure and recommend enhancements.
Lead and execute IT-related projects, ensuring timely completion and adherence to budgets.
Manage hardware and software inventory, including IT supplies and resources.
Bachelor’s degree in information technology, Computer Science, or related field.
Minimum of 3 years’ experience in IT administration
Proficiency in system administration, network management, and user support.
Relevant certifications (e.g., Microsoft Certified IT Professional, CompTIA A+, Network+, Security+) are preferred.
Strong analytical, problem-solving, and communication skills.
Which of the following statements best describes your right to work in Malaysia?
What's your expected monthly basic salary?",Selangor,Information & Communication Technology,Engineering - Network,Full time,
2,72930414,IT System Administrator (Linux/Windows Server),AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD,"Administration, maintenance and monitoring of remote servers (Linux)
Responsibility for smooth running of web and email services.
Research and development of new systems.
Out of hours maintenance work 
On-call emergency response and recovery of servers 
3rd line user support.
Support/maintenance of office/staff systems 
(Windows/Mac/Linux desktops and laptops, Linux/Windows servers)
Some travel required (infrequent visits to datacentres)
At least 2 years’ experience in system administrator role.
Must have several years’ experience in most of the following:
Linux server administration and CLI (pref. Ubuntu)
Database configuration and administration, including SQL (pref. MySQL)
Web server configuration and administration (pref. Apache)
SMTP/IMAP/POP3 server administration (pref. Postfix/Dovecot)
Which of the following statements best describes your right to work in Malaysia?
What's your expected monthly basic salary?",Kuala Lumpur,Information & Communication Technology,Networks & Systems Administration,Contract/Temp,
3,72866474,IT Executive,Wing Tai Fashion Sdn Bhd,"Provide comprehensive IT support for ERP, POS, CRM, and other front and back-end systems to Head Office (HQ), Distribution Centre (DC), and Retail Outlets.
Setting up the system configuration for new stores and brands, as well as handling back-end system closure.
Responsible for Daily Sales and other file integration and reporting to Malls and Principles.
Responsible for Administration duties such as safe-keeping of IT equipment/asset management, ensuring a smooth operation within the department, billing, and vendor management.
Possess a Diploma in Computer Studies / Information Technology or equivalent.
Preferably at least 3 years experience in Retail POS, Desktop Support, and Microsoft Operating System.
Familiar with Microsoft Office and application software such as ERP, CRM, and Retail POS.
Good analytical skills & problem-solving skills in troubleshooting.
Able to communicate well with users at all levels.
Positive work attitude, proactive, own-initiative, and able to work under pressure.
Able to work independently.
Enjoy medical, dental, optical, insurance and staff rebate benefits
Good career development
Near to MRT station
What's your expected monthly basic salary?
How many years' experience do you have as an Information Technology Executive?
How many years' experience do you have in the retail industry?
Do you have experience using point of sale (POS) software?
How much notice are you required to give your current employer?",Petaling,Information & Communication Technology,Networks & Systems Administration,Full time,
4,72810423,IT Support Engineer,Private Advertiser,"Diploma / Bachelor’s Degree in Information Technology.
Fresh Graduated are encouraged to apply.
Required language (s): Mandarin, English (to deal with Mandarin and English speaking client).
Good troubleshooting skills on networking and servers.
Excellent problem-solving ability, critical thinking, and possess analytical mind.
Good awareness of future business trends and technology is vital to coming up with sustainable solutions.
Good interpersonal and negotiation skills to resolve conflicts or requirements between end-users.
To provide first-level IT support to users.
Ensure network and internet connection are up all the time.
To assist in implementing IT projects.
To assist in leaders’ related tasks.
Manage and maintain company network and servers, security infrastructures, e.g. Firewall network traffic, and logs monitoring.
Perform operational support of IT infrastructure technology including, but not limited to, network, security, application, and operation services.
Install new/rebuild existing servers and configure hardware, peripherals, services, settings, directories, and storage.
Perform ID management (Active Directory, Microsoft 365).
Provide remote support for users.
Manage IT Assets including PCs, mobile devices, printers, subscriptions of software, and cloud.
Full-Time Job (Permanent Employee)
5 Working Days / Week
On Job Training Provided
Medical Benefit (Medical Check Up, Medical Claim)
Miscellaneous Allowance (Shift Allowance)
Miscellaneous Paid Leave (Annual Leave, Medical Leave, etc)
Annual Bonus, 13th Month salary
OT Pay (Normal Day, Rest Day, public Holiday)
Increment Adjustment (After Probation and Yearly)
EPF, SOCSO, EIS
Pantry Supplies
Best Attendance Reward",Kuala Lumpur,Information & Communication Technology,Help Desk & IT Support,Full time,"MYR 2,500 - 3,500"
5,72763012,Desktop Support Engineer,Getronics Solutions (S) Pte Ltd,,Terengganu,Information & Communication Technology,Networks & Systems Administration,Contract/Temp,"RM 3,000 – RM 4,000 per month"
6,72884330,Identity and Access Management Engineer,B. Braun Medical Industries Sdn. Bhd.,"Planning and execution of daily administrative tasks including performance monitoring, tuning, troubleshooting, root cause analysis, provisioning of recommended solutions, proactive error prevention, installing upgrades & etc. 
Ensuring stability and optimal performance on all directory services including incident handling. 
Coordination and execution of maintenance and lifecycle activities. 
Coordination and control of external support/service providers. 
Creation and maintenance of documentation. 
Support problem management process. 
Integrate new applications with PingFederate with standard protocols. 
Active participation in projects related to PingFederate and OneIdentity, Active Directory, Azure AD, Azure AD Connect, Microsoft Identity Manager (MIM/FIM) and Microsoft Certificate Services (ADCS).
Bachelor’s degree in Computer Science of related field or equivalent work experience.
At least 3 years' work experience within at least 3 of the following areas/products:
• Microsoft Azure AD/Entra ID
• Active Directory
• LDAP Services
• Authentication Method in Active Directory (Kerberos) and Entra.ID (SAML/OIDC)
Or 3 years’ experience in supporting Active Directory related to the below job duties:
• Maintenance and support of Active Directory, Federated Services, related technologies
• Maintenance and support of public key infrastructure (PKI), related technologies 
• Assist with the development and maintenance of role-based access controls (RBAC) 
• Maintenance and support of Group Policy Management and configuration.
• Plan, design, build and maintain Active Directory and Entra.ID to integrate with B. Braun landscape
• AD management via Powershell
Strong troubleshooting and problem-solving skills.
 A technically enthusiastic and willing-to-learn attitude is required.
Ability to work independently in a multi-task environment in a global team.
 
What's your expected monthly basic salary?
How many years' experience do you have as an Identity and Access Management Engineer?",Penang Island,Information & Communication Technology,Networks & Systems Administration,Full time,
7,72734887,IT Infrastructure Executive (System & Network),AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD,"Assist in managing the company's technology infrastructure, including servers, networks, and cloud-based systems.
Assist with planning, designing, and implementing infrastructure projects to improve performance, reliability, and security.
Provide technical support to infrastructure team members and end-users.
Monitor infrastructure performance and identify and resolve issues in a timely manner.
Ensure compliance with industry best practices and regulatory requirements.
Develop and maintain disaster recovery plans and procedures.
Collaborate with cross-functional teams to ensure technology infrastructure meets business needs.
Assist with infrastructure budgets and procurement of hardware and software.
Stay up-to-date with emerging technologies and make recommendations for adoption where appropriate.
3+ years of experience in infrastructure management or a related field.
Strong technical skills in managing servers, networks, and cloud-based systems.
Familiar with cloud computing, network infrastructure, server infrastructure & administration, storage infrastructure, backup & disaster recovery, virtualization, cybersecurity etc.
Knowledge of security and compliance requirements.
Strong problem-solving and analytical skills.
Excellent communication and collaboration skills, including the ability to work effectively with cross-functional teams.
Ability to work independently and adapt to a fast-paced, changing environment.
Experience with ITIL or other IT service management frameworks is a plus.
Ability to thrive in a dynamic, rapidly changing environment.
Excellent copywriting skills with a strong portfolio showcasing a range of writing skills.
Detail-oriented with a strong focus on quality and accuracy.
Ability to work independently and collaboratively in a fast-paced environment.
Which of the following statements best describes your right to work in Malaysia?
What's your expected monthly basic salary?",Kuala Lumpur,Information & Communication Technology,Networks & Systems Administration,Full time,
8,72866450,IT EXECUTIVE,TOYO TYRE SALES AND MARKETING MALAYSIA SDN BHD,"Bachelor’s degree in computer science or other IT related qualification.
Minimum 3 years of experience in IT support or software development.
Demonstrate knowledge in SAP and Warehouse Management System (WMS).
Possess own transport and willing to travel nationwide.
Possess good analytical and problem-solving abilities, with strong interpersonal and communication skills (verbal & written).
Highly collaborative to work as a team and self-motivated to work independently under minimum supervision in a changing environment.
Undertake and carry out SAP & WMS support as to maintain the day-to-day operational activities.
Provide support on IT equipment such as laptop, desktop, printer and scanner in a timely manner with limited disruptions.
Understand user requirement and propose an automated system to enhance application support efficiency and user satisfaction.
Develop system specification as per requirement and to ensure the system design follow Toyo Malaysia Group standard and platform.
Deliver business application as per the agreed timeline and design.
Perform system unit & integration testing. Liaise with key-users for user acceptance testing. 
Participate in developing internal technical documentation, manuals and provide user training.
Organize meeting for the purpose of resolving different application needs among different user groups and updating user on the development progress as well as the changes in schedule.
Constantly assist and educate users to improve performance/efficiency.
Coordinate with external vendor on the system support and enhancement.
Adhere to security, compliance and regulated standard under IT policies.
Bental & Optical
GHS & GPA Insurance
Outpatient & Specialist Medical
EPF, SOCSO, EIS Contribution
5 working days","Larut, Matang and Selama District",Information & Communication Technology,Help Desk & IT Support,Full time,
9,72864504,Information Technology (IT) Junior Executive,Regen Rehabilitation International,"Oversees all application for the hospital core systems such as HMIS, HRMS and FINANCIAL to ensure the systems are performing at optimum level
Maintains the VM servers to ensure its optimum performance and assists in capacity planning.
Ensures data security and data integrity of the Application
Performs system administrator tasks such as setting up user access for Application, access security, monitoring system performance and analyzing error logs
Coordinates and oversees the periodic database and system backups
Liaise with the software vendors in defining the interface programme to the Oracle Fi-nancial System from the HIS, HRMS and other related systems.
Assist the Head of Information Technology/Senior Executive in evaluating and identifying application systems for the hospital environment.
Coordinates and leads project teams in the implementation of new application systems as assigned by the Head of Information Technology/Senior Executive
Study user request and the business rules and coordinate with system developer on any system changes
Keeps abreast with the new developments in the IT industry and administration and making recommendations where required in the selection of hardware and software
Maintain documentation on system security, database administration procedure and disaster recovery procedure
Performs all other related tasks and duties as may be assigned by the Head of Information Technology/Senior Executive
Diploma in Information Technology OR; minimal 2 years of professional working experience in relevant fields
Additional certification in Information Technology function(s) is an added advantage
Excellent technical knowledge of pcs and desktop hardware.
Working technical knowledge of current protocols, operating systems and standards.
Ability to operate tools, components and peripheral accessories.
Software and Hardware Troubleshooting Windows XP, Windows 7, Windows 2000/2003/2008 experience
Microsoft Office 2007, Office 2010 support
TCP/IP
Working knowledge of SMS, AD, Exchange 2007/2010 and remote-control tools
How many years' experience do you have in an application support function?
What's your expected monthly basic salary?
How many years' experience do you have as an Information Technology Role?
Are you willing to undergo a pre-employment background check?",Petaling,Information & Communication Technology,Management,Full time,
