FILMS;Date;Mois;Jour;Année;Possession;Billet National;Inflation Ajustée Nat;Billet International; Inflation  Internationale Ajustée ;Worldwide Box Office;Inflation Mondiale Adjustée ;Ouverture du  Weekend; Budget ;IMDb Score;Meta Score;Tomatometer; Score d'audience Tomate Pourie;Durée d'exécution en Minutes;Phase;Directeur
Iron Man;05/02/2008;May;2;2008;Marvel Studios; 318 604 126   ; 467 231 126   ; 266 567 421   ; 390919596.15346 ; 585 171 547   ; 858150722.15346 ;102118668; 186 000 000 CFA ;7.9;79;94;91;126;One;Jon Favreau
The Incredible Hulk;6/13/2008;June;13;2008;Marvel Studios; 134 806 913   ; 197 704 288   ; 130 766 946   ; 191779378.204918 ; 265 573 859   ; 389483666.204918 ;55414050; 137 500 000 CFA ;6.6;61;67;69;112;One;Louis Leterrier
Iron Man 2;05/07/2010;May;7;2010;Marvel Studios; 312 433 331   ; 416 973 763   ; 308 723 058   ; 412022029.810665 ; 621 156 389   ; 828995792.810665 ;128122480; 170 000 000 CFA ;6.9;57;72;71;124;One;Jon Favreau
Thor;05/06/2011;May;6;2011;Marvel Studios; 181 030 624   ; 240 384 926   ; 268 295 994   ; 356261892.262971 ; 449 326 618   ; 596646818.262971 ;65723338; 150 000 000 CFA ;7;57;77;76;115;One;Kenneth Brangh
Captain America: The First Avenger;7/22/2011;July;22;2011;Marvel Studios; 176 654 505   ; 234 574 020   ; 193 915 271   ; 257494054.045547 ; 370 569 776   ; 492068074.045547 ;65058524; 140 000 000 CFA ;6.9;66;80;75;124;One;Joe Johnston
The Avengers;05/04/2012;May;4;2012;Marvel Studios; 623 357 910   ; 824 617 936   ; 891 742 301   ; 1179654070.15451 ; 1 515 100 211   ; 2004272006.15451 ;207438708; 225 000 000 CFA ;8;69;91;91;143;One;Joss Whedon
Iron Man 3;05/03/2013;May;3;2013;Marvel Studios; 408 992 272   ; 529 727 993   ; 806 400 000   ; 1044451650.55637 ; 1 215 392 272   ; 1574179643.55637 ;174144585; 200 000 000 CFA ;7.1;62;79;78;130;Two;Shane Black
Thor: The Dark World;11/08/2013;November;8;2013;Marvel Studios; 206 362 140   ; 267 262 372   ; 438 240 376   ; 567570981.750489 ; 644 602 516   ; 834833353.750489 ;85737841; 150 000 000 CFA ;6.8;54;67;75;112;Two;Alan Taylor
Captain America: The Winter Soldier;04/04/2014;April;4;2014;Marvel Studios; 259 746 958   ; 334 777 900   ; 454 654 931   ; 585987317.028848 ; 714 401 889   ; 920765217.028848 ;95023721; 170 000 000 CFA ;7.7;70;90;92;132;Two;Anthony and Joe Russo
Guardians of The Galaxy;08/01/2014;August;1;2014;Marvel Studios; 333 714 112   ; 430 014 621   ; 437 168 283   ; 563322756.717779 ; 770 882 395   ; 993337377.717779 ;94320883; 170 000 000 CFA ;8;76;92;92;121;Two;James Gunn
Avengers: Age of Ultron;05/01/2015;May;1;2015;Marvel Studios; 459 005 868   ; 573 348 960   ; 936 311 111   ; 1169555857.89656 ; 1 395 316 979   ; 1742904817.89656 ;191271109; 365 000 000 CFA ;7.3;66;76;82;141;Two;Joss Whedon
Ant-Man;7/17/2015;July;17;2015;Marvel Studios; 180 202 163   ; 225 092 376   ; 338 656 286   ; 423019051.458753 ; 518 858 449   ; 648111427.458753 ;57225526; 130 000 000 CFA ;7.3;64;83;85;117;Two;Peyton Reed
Captain America: Civil War;05/06/2016;May;6;2016;Marvel Studios; 408 084 349   ; 496 777 822   ; 743 815 237   ; 905476807.215838 ; 1 151 899 586   ; 1402254629.21584 ;179139142; 250 000 000 CFA ;7.8;75;90;89;147;Three;Anthony and Joe Russo
Doctor Strange;11/04/2016;November;4;2016;Marvel Studios; 232 641 920   ; 283 094 491   ; 443 701 254   ; 539925825.307802 ; 676 343 174   ; 823020316.307802 ;85058311; 165 000 000 CFA ;7.5;72;89;86;115;Three;Scott Derrickson
